NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Study Type,Start Date,Primary Completion Date,Completion Date,Patient friendly summary,Field1,Relevant for rare cancer?,Genetic,Key inclusion criteria,Key exclusion criteria,Gene,Rare Cancer Types,Location,Tumour agnostic?,Reviewed,Drugs,Biologicals,Max ECOG,For untreated patients?,Trial cohort,Cohorts,Trial Question,Trial Drug,How given?,Updated locations
"NCT03175224","APL-101 Study of Subjects With NSCLC With c-Met EXON 14 Skip Mutations and c-Met Dysregulation Advanced Solid Tumors","https://clinicaltrials.gov/study/NCT03175224","SPARTA","RECRUITING","To assess:

* efficacy of APL-101 as monotherapy for the treatment of NSCLC harboring MET Exon 14 skipping mutations, NSCLC harboring MET amplification, solid tumors harboring MET amplification, solid tumors harboring MET fusion, primary CNS tumors harboring MET alterations, solid tumors harboring wild-type MET with overexpression of HGF and MET
* efficacy of APL-101 as an add-on therapy to EGFR inhibitor for the treatment of NSCLC harboring EGFR activating mutations and developed acquired resistance with MET amplification and disease progression after documented CR or PR with 1st line EGFR inhibitors (EGFR-I)","Solid Tumors|Advanced Cancer|Renal Cancer|Gastric Cancer|Gastroesophageal Junction Adenocarcinoma|NSCLC|Lung Cancer|Brain Tumor|Glioblastoma Multiforme|EGFR Gene Mutation|MET Amplification|HGF|Thyroid Cancer|Pancreatic Cancer|Colon Cancer|MET Alteration|M","DRUG: APL-101 Oral Capsules","Apollomics Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE2",497,"INTERVENTIONAL","09/27/17 00:00:00","03/30/26 00:00:00","11/30/26 00:00:00",1,213,1,1,"Tumour cannot be fully removed and/or has spread
Presence of an alteration in the MET gene on genetic analysis","Actionable alterations of EGFR, ALK, ROS1, RET, NTRK, KRAS or BRAF",213,213,213,1,1,213,213,"1",0,"Primary brain tumours",17,"How well does the new drug, APL-101- work in patients with tumours with alterations in a gene called MET","APL-101 (Vebreltinib: an inhibitor of c MET)","Oral",17
"NCT04482309","A Phase 2 Study of T-DXd in Patients With Selected HER2 Expressing Tumors","https://clinicaltrials.gov/study/NCT04482309","DPT02","RECRUITING","This is an open-label, multi-center, multi-cohort, Phase 2 study to evaluate the efficacy and safety of trastuzumab deruxtecan (T-DXd) for the treatment of selected HER2-expressing tumors.

This study will consist of Part 1 which includes 7 cohorts of: urothelial bladder cancer, biliary tract cancer, cervical cancer, endometrial cancer, ovarian cancer, pancreatic cancer, and rare tumors; and Part 2 which includes 5 cohorts A to E of: A) any tumor type that is HER2 IHC 3+ (excluding breast, gastric cancer, and colorectal cancer), B) any tumor type that is HER2 IHC 2+/ISH+ (excluding breast, gastric cancer, and colorectal cancer), C) HER2 IHC 2+ or 1+ endometrial cancer, D) HER2 IHC 2+ or 1+ ovarian cancer, and E) HER2 IHC 2+ or 1+ cervical cancer.

Study hypothesis: Trastuzumab deruxtecan will show meaningful clinical activity and a favorable risk benefit profile in selected HER2-expressing solid tumors.","Part 1: Bladder, Biliary Tract, Cervical, Endometrial, Ovarian, Pancreatic Cancer, Rare Tumors, Any Tumor Type Excluding Breast, Gastric, Colorectal Cancer|Part 2: HER2 Expressing/Amplified Solid Tumors Excluding Breast, Gastric, Colorectal Cancer","DRUG: Trastuzumab deruxtecan","AstraZeneca","Daiichi Sankyo Co., Ltd.","ALL","ADULT, OLDER_ADULT","PHASE2",468,"INTERVENTIONAL","08/18/20 00:00:00","07/30/27 00:00:00","07/30/27 00:00:00",1,196,1,1,"Progressed following prior treatment or do not have no satisfactory alternative treatment option

Patients selected on basis of laboratory assessment of HER2 in tumour tissue","Known mutations of the HER2 gene without protein expression",196,196,196,1,1,196,196,"not stated",0,,112,"How safe and effective is trastuzumab deruxtecan (T-DXd) in treating patients with tumours with high levels of a cell-surface protein called HER2 (first described in breast cancer but also found in some other tumours)","Trastuzumab","Intravenous",112
"NCT02264678","Ascending Doses of Ceralasertib in Combination With Chemotherapy and/or Novel Anti Cancer Agents","https://clinicaltrials.gov/study/NCT02264678",,"RECRUITING","This is a modular, phase I/ phase 1 b, open-label, multicentre study of ceralasertib administered orally in combination with cytotoxic chemotherapy regimens and/or novel anti-cancer agents, to patients with advanced malignancies. The study design allows an investigation of optimal combination dose of ceralasertib with other anti-cancer treatments, with intensive safety monitoring to ensure the safety of the patients. The initial combination to be investigated is ceralasertib with carboplatin. The second combination to be investigated is ceralasertib with Olaparib. The third combination to be investigated is ceralasertib with durvalumab. The fourth module will investigate the effect of food on ceralasertib absorption and the effect of ceralasertib on ECG parameter. The fifth module to be investigated is ceralasertib with AZD5305.","Adv Solid Malig - H&N SCC, ATM Pro / Def NSCLC, Gastric, Breast and Ovarian Cancer","DRUG: Administration of ceralasertib|DRUG: Administration of ceralasertib in combination with olaparib|DRUG: Administation of ceralasertib in combination with durvalumab|DRUG: Administration of ceralasertib monotherapy|DRUG: Administration of ceralasertib","AstraZeneca",,"ALL","ADULT, OLDER_ADULT","PHASE1|PHASE2",466,"INTERVENTIONAL","10/31/14 00:00:00","12/15/26 00:00:00","12/15/26 00:00:00",1,167,1,1,"Different arms of the study have different criteria, breast cancer should be HER2- or TNBC","Sensitivity to any of the trial drugs",167,167,167,0,1,167,167,"not stated",0,,2,,,,2
"NCT02678182","Planning Treatment for Oesophago-gastric Cancer: a Maintenance Therapy Trial","https://clinicaltrials.gov/study/NCT02678182","PLATFORM","RECRUITING","To evaluate the efficacy of maintenance therapies following completion of standard first-line chemotherapy in patients with locally advanced or metastatic HER-2 positive or HER-2 negative oesophago-gastric adenocarcinomas.","Adenocarcinoma of the Oesophagus|Adenocarcinoma of the Gastro-oesophageal Junction|Adenocarcinoma of the Stomach","DRUG: Capecitabine|DRUG: MEDI4736|DRUG: Trastuzumab|DRUG: Rucaparib|DRUG: Ramucirumab","Royal Marsden NHS Foundation Trust","MedImmune LLC|Clovis Oncology, Inc.|Eli Lilly and Company|AstraZeneca","ALL","ADULT, OLDER_ADULT","PHASE2",924,"INTERVENTIONAL","02/01/15 00:00:00","03/01/25 00:00:00","06/01/27 00:00:00",0,332,1,1,"Stable disease or better after 18 weeks of standard chemotherapy",,332,332,332,0,1,332,332,"2",0,,4,,,,4
"NCT02715284","Study of TSR-042, an Anti-programmed Cell Death-1 Receptor (PD-1) Monoclonal Antibody, in Participants With Advanced Solid Tumors","https://clinicaltrials.gov/study/NCT02715284","GARNET","RECRUITING","This is a multi-center, open-label, first-in-human Phase 1 study evaluating the anti-programmed death receptor 1 (anti-PD-1) antibody dostarlimab (also known as TSR-042) n participants with advanced solid tumors who have limited available treatment options. The study will be conducted in 2 parts with Part 1 consisting of safety evaluation, pharmacokinetics (PK), and pharmacodynamics (PDy) of escalating doses of dostarlimab. Dose escalation will be based on ascending weight-based dose levels (DLs) of dostarlimab and will continue until the maximum tolerated dose (MTD) is reached or may be stopped at any dose level up to the highest dose of 20 milligrams per kilograms (mg/kg) based on emerging safety and PK/PDy data. Part 2 will be conducted in two subparts, Part 2A (fixed-dose safety evaluation cohorts) and Part 2B (expansion cohorts). Part 2A of the study will evaluate the safety and tolerability of dostarlimab at fixed doses of 500 mg administered every 3 weeks (Q3W) and 1000 mg administered every 6 weeks (Q6W). Part 2B of the study will examine the safety and clinical activity of dostarlimab in cohorts of participants with specific types of advanced solid tumors.","Neoplasms","BIOLOGICAL: Dostarlimab","Tesaro, Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE1",740,"INTERVENTIONAL","03/07/16 00:00:00","05/15/26 00:00:00","10/27/27 00:00:00",1,30,1,1,"Any advanced neoplasm in early stages. Later stages specify endometrial or ovarian",,30,30,30,1,1,30,30,"not stated",0,,5,,,,5
"NCT02861573","Study of Pembrolizumab (MK-3475) Combination Therapies in Metastatic Castration-Resistant Prostate Cancer (MK-3475-365/KEYNOTE-365)","https://clinicaltrials.gov/study/NCT02861573","KEYNOTE-365","RECRUITING","The purpose of this study is to assess the safety and efficacy of pembrolizumab (MK-3475) combination therapy in participants with metastatic castration resistant prostate cancer (mCRPC). There will be ten cohorts in this study: Cohort A will receive pembrolizumab + olaparib, Cohort B will receive pembrolizumab + docetaxel + prednisone, Cohort C will receive pembrolizumab + enzalutamide, Cohort D will receive pembrolizumab + abiraterone + prednisone Cohort E will receive pembrolizumab+lenvatinib, Cohort F will receive pembrolizumab+lenvatinib, Cohort G will receive pembrolizumab/vibostolimab coformulation (MK-7684A), Cohort H will receive pembrolizumab/vibostolimab coformulation, Cohort I will receive pembrolizumab+carboplatin+etoposide in Arm 1 and carboplatin+etoposide in Arm 2 and Cohort J will receive belzutifan in Arm1 and Pembrolizumab+belzutifan in Arm 2. Outcome measures will be assessed individually for each cohort.","Metastatic Castration-Resistant Prostate Cancer","BIOLOGICAL: Pembrolizumab 200 mg|DRUG: Olaparib 400 mg|DRUG: Docetaxel 75 mg/m^2|DRUG: Prednisone 5 mg|DRUG: Enzalutamide 160 mg|OTHER: Dexamethasone 8 mg|DRUG: Olaparib 300 mg|DRUG: Abiraterone acetate 1000 mg|DRUG: Lenvatinib|BIOLOGICAL: Pembrolizumab/V","Merck Sharp & Dohme LLC",,"MALE","ADULT, OLDER_ADULT","PHASE1|PHASE2",1200,"INTERVENTIONAL","11/17/16 00:00:00","10/22/27 00:00:00","10/22/27 00:00:00",0,274,0,0,,,274,274,274,0,1,274,274,,0,,6,,,,6
"NCT02912949","A Study of Zenocutuzumab (MCLA-128) in Patients With Solid Tumors Harboring an NRG1 Fusion (eNRGy)","https://clinicaltrials.gov/study/NCT02912949",,"RECRUITING","This is a Phase I/II, open-label, multi-center, multi-national, dose escalation, single agent study to assess the safety, tolerability, PK, PD, immunogenicity and anti-tumor activity of zenocutuzumab (MCLA-128) in patients with solid tumors harboring an NRG1 fusion (eNRGy)","Solid Tumours Harboring NRG1 Fusion|NSCLC Harboring NRG1 Fusion|Pancreatic Cancer Harboring NRG1 Fusion|NRG1 Fusion","DRUG: zenocutuzumab (MCLA-128)","Merus N.V.",,"ALL","ADULT, OLDER_ADULT","PHASE2",250,"INTERVENTIONAL","01/01/15 00:00:00","12/31/26 00:00:00","12/31/26 00:00:00",0,66,1,1,"Tumour with documented NRG1 gene fusion, Loally advanced, unresectable or metastatic tumour",,66,66,66,1,1,66,66,"2",0,,7,,,,7
"NCT02952508","Study of Iopofosine I 131 (CLR 131) in Select B-Cell Malignancies (CLOVER-1) and Pivotal Expansion in Waldenstrom Macroglobulinemia","https://clinicaltrials.gov/study/NCT02952508","CLOVER-WaM","RECRUITING","Part A of this study evaluates iopofosine I 131 (CLR 131) in patients with select B-cell malignancies (multiple myeloma( MM), indolent chronic lymphocytic leukemia (CLL)/small lymphocytic lymphoma (SLL), lymphoplasmacytic lymphoma (LPL)/Waldenstrom Macroglobulinemia (WM), marginal zone lymphoma (MZL), mantle cell lymphoma (MCL), diffuse large B-cell lymphoma (DLBCL), and central nervous system lymphoma (CNSL) who have been previously treated with standard therapy for their underlying malignancy. Part B (CLOVER-WaM) is a pivotal efficacy study evaluating IV administration of iopofosine I 131 in patients with WM that have received at least two prior lines of therapy.","Waldenstrom Macroglobulinemia|Multiple Myeloma|Chronic Lymphocytic Leukemia|Small Lymphocytic Lymphoma|Lymphoplasmacytic Lymphoma|Marginal Zone Lymphoma|Mantle Cell Lymphoma|Diffuse Large B Cell Lymphoma|Central Nervous System Lymphoma","DRUG: Iopofosine I 131 single dose|DRUG: Iopofosine I 131 multiple dose|DRUG: Iopofosine I 131 fractionated dose","Cellectar Biosciences, Inc.",,"ALL","ADULT, OLDER_ADULT","PHASE2",120,"INTERVENTIONAL","07/26/17 00:00:00","11/30/24 00:00:00","06/30/25 00:00:00",0,197,1,0,"MM patients must have received at least 5 prior regimes(NB CLL,Mantle cell DLBCL arms now CLOSED)",,197,197,197,0,1,197,197,"2",0,,8,,,,8
"NCT02960022","A Study for Subjects With Prostate Cancer Who Previously Participated in an Enzalutamide Clinical Study","https://clinicaltrials.gov/study/NCT02960022",,"RECRUITING","The purpose of this study is to collect long term safety data in subjects who are continuing to derive clinical benefit from treatment with Enzalutamide from the subjects participation in an enzalutamide clinical study sponsored by Astellas or Medivation (i.e., parent study) which has completed, at a minimum, the primary analysis or the study specified evaluation period.","Prostate Cancer","DRUG: enzalutamide|DRUG: abiraterone acetate|DRUG: prednisone","Astellas Pharma Global Development, Inc.","Pfizer","MALE","ADULT, OLDER_ADULT","PHASE2",900,"INTERVENTIONAL","12/22/16 00:00:00","07/31/26 00:00:00","07/31/26 00:00:00",0,183,0,0,,,183,183,183,0,1,183,183,,0,,9,,,,9
"NCT02998567","Combination Study of Guadecitabine/ASTX727 and Pembrolizumab","https://clinicaltrials.gov/study/NCT02998567","HyPeR","RECRUITING","HyPeR is a multi-centre Phase 1 Dose Escalation Study of Guadecitabine (SGI-110)/ASTX727 a Second Generation Hypo-Methylating Agent in Combination with Pembrolizumab (MK3475) in Patients with Refractory Solid Tumours. The investigators will be investigating the safety and toxicity of the combination.","Castration-Resistant Prostatic Cancer|Non Small Cell Lung Cancer","DRUG: Guadecitabine|DRUG: Pembrolizumab|DRUG: ASTX727","Royal Marsden NHS Foundation Trust","Astex Pharmaceuticals, Inc.|Merck Sharp & Dohme LLC|Institute of Cancer Research, United Kingdom","ALL","ADULT, OLDER_ADULT","PHASE1",34,"INTERVENTIONAL","01/26/17 00:00:00","09/01/26 00:00:00","09/01/26 00:00:00",0,96,0,1,"Patients with any tumour type that previously responded to a PD-1 or PD-L1 inhibitor and subsequently progressed (defined as secondary resistance to PD-1/PD-L1 inhibitors ie CR or PR by RECIST, or SD by RECIST for 6 months' duration) or/
Patients with microsatellite-instability-high (MSI-High) tumours, provided they have been defined by validated assays or patients with deficient mismatch repair (dMMR) defined by immunohistochemistry, who have previously received and have progressed on a PD-1 or PD-L1 inhibitor (primary resistance to PD-1/PD-L1 inhibitors) or/
Patients with other solid tumour types who could benefit, based on emerging anti-tumour activity data, from combination therapy with a demethylating agent and PD-1 or PD-L1 inhibitors, in consultation with any other relevant preclinical or clinical data, at the Chief Investigator's discretion.",,96,96,96,0,1,96,96,,0,,10,,,,10
